# l        r_max           v_max         r_min           v_min
0.5625  1.25352112676   96.8357513502  0.366197183099  10.7529386847    
1.0     1.0985915493    73.1695435773  0.359154929577  14.6669490628  
2.25    0.922535211268  51.9220586678  0.359154929577  18.8774753786    
4.      0.823943661972  41.7557979456  0.359154929577  20.9827385365    
9.      0.711267605634  32.1995128667  0.366197183099  23.0837657524    
16.     0.640845070423  27.4298422112  0.387323943662  23.3718098062    
25.     0.619718309859  27.4425500371  0.387323943662  23.3718098062    
